touchstone,modelling_group,disease,focal,baseline,burden_outcome,comment
201710gavi,CDA-Razavi,HepB,default:HepB-routine,novac,*,
201710gavi,CDA-Razavi,HepB,default:HepB_BD-routine;HepB-routine,default:HepB_BD-routine,*,
201710gavi,CDA-Razavi,HepB,default:HepB_BD-routine,novac,*,
201710gavi,CDA-Razavi,HepB,default:HepB_BD-routine;HepB-routine,default:HepB_BD-routine,*,
201710gavi,IC-Hallett,HepB,default:HepB-routine,novac,*,
201710gavi,IC-Hallett,HepB,default:HepB_BD-routine;HepB-routine,default:HepB_BD-routine,*,
201710gavi,IC-Hallett,HepB,default:HepB_BD-routine,novac,*,
201710gavi,IC-Hallett,HepB,default:HepB_BD-routine;HepB-routine,default:HepB_BD-routine,*,
201710gavi,Li,HepB,default:HepB-routine,novac,"hepb_deaths_acute,hepb_deaths_total_cirrh,hepb_deaths_hcc\hepb_cases_acute_symp,hepb_cases_fulminant,hepb_cases_chronic,hepb_chronic_symptomatic_in_acute_phase ",
201710gavi,Li,HepB,default:HepB_BD-routine;HepB-routine,default:HepB_BD-routine,"hepb_deaths_acute,hepb_deaths_total_cirrh,hepb_deaths_hcc\hepb_cases_acute_symp,hepb_cases_fulminant,hepb_cases_chronic,hepb_chronic_symptomatic_in_acute_phase ",
201710gavi,Li,HepB,default:HepB_BD-routine,novac,"hepb_deaths_acute,hepb_deaths_total_cirrh,hepb_deaths_hcc\hepb_cases_acute_symp,hepb_cases_fulminant,hepb_cases_chronic,hepb_chronic_symptomatic_in_acute_phase ",
201710gavi,Li,HepB,default:HepB_BD-routine;HepB-routine,default:HepB_BD-routine,"hepb_deaths_acute,hepb_deaths_total_cirrh,hepb_deaths_hcc\hepb_cases_acute_symp,hepb_cases_fulminant,hepb_cases_chronic,hepb_chronic_symptomatic_in_acute_phase ",
201710gavi,JHU-Tam,Hib,default:Hib3-routine,novac,*,
201710gavi,LSHTM-Clark,Hib,default:Hib3-routine,novac,*,
201710gavi,Harvard-Sweet,HPV,default:HPV-campaign,novac,*,
201710gavi,Harvard-Sweet,HPV,default:HPV-campaign;HPV-routine,default:HPV-campaign,*,
201710gavi,LSHTM-Jit,HPV,default:HPV-campaign,novac,*,
201710gavi,LSHTM-Jit,HPV,default:HPV-campaign;HPV-routine,default:HPV-campaign,*,
201710gavi,OUCRU-Clapham,JE,default:JE-routine;JE-campaign,default:JE-routine,*,
201710gavi,OUCRU-Clapham,JE,default:JE-routine,novac,*,
201710gavi,UND-Moore,JE,default:JE-routine;JE-campaign,default:JE-routine,*,
201710gavi,UND-Moore,JE,default:JE-routine,novac,*,
201710gavi,LSHTM-Jit,Measles,default:MCV1-routine,novac,*,
201710gavi,LSHTM-Jit,Measles,default:MCV1-routine;MCV2-routine,default:MCV1-routine,*,
201710gavi,LSHTM-Jit,Measles,default:MCV1-routine;MCV2-routine;Measles-campaign,default:MCV1-routine;MCV2-routine,*,
201710gavi,PSU-Ferrari,Measles,default:MCV1-routine,novac,*,
201710gavi,PSU-Ferrari,Measles,default:MCV1-routine;MCV2-routine,default:MCV1-routine,*,
201710gavi,PSU-Ferrari,Measles,default:MCV1-routine;MCV2-routine;Measles-campaign,default:MCV1-routine;MCV2-routine,*,
201710gavi,Cambridge-Trotter,MenA,default:MenA-campaign,novac,*,
201710gavi,Cambridge-Trotter,MenA,default:MenA-campaign;MenA-routine,default:MenA-campaign,*,
201710gavi,KPW-Jackson,MenA,default:MenA-campaign,novac,*,
201710gavi,KPW-Jackson,MenA,default:MenA-campaign;MenA-routine,default:MenA-campaign,*,
201710gavi,JHU-Tam,PCV,default:PCV3-routine,novac,*,
201710gavi,LSHTM-Clark,PCV,default:PCV3-routine,novac,*,
201710gavi,JHU-Tam,Rota,default:Rota-routine,novac,*,
201710gavi,LSHTM-Clark,Rota,default:Rota-routine,novac,*,
201710gavi,JHU-Lessler,Rubella,default:Rubella-campaign;Rubella-routine;RCV2-routine,default:Rubella-campaign;Rubella-routine,*,
201710gavi,JHU-Lessler,Rubella,default:Rubella-campaign,novac,*,
201710gavi,JHU-Lessler,Rubella,default:Rubella-campaign;Rubella-routine,default:Rubella-campaign,*,
201710gavi,PHE-Vynnycky,Rubella,default:Rubella-campaign,novac,*,
201710gavi,PHE-Vynnycky,Rubella,default:Rubella-campaign;Rubella-routine;RCV2-routine,default:Rubella-campaign,*,"RCV1 is treated as focal, not RCV2"
201710gavi,IC-Garske,YF,default:YF-routine;YF-campaign,default:YF-routine,*,
201710gavi,IC-Garske,YF,default:YF-routine,novac,*,
201710gavi,UND-Perkins,YF,default:YF-routine;YF-campaign,default:YF-routine,*,
201710gavi,UND-Perkins,YF,default:YF-routine,novac,*,
