disease,vaccine,activity_type
Cholera,Cholera,campaign
DTP,DTP3,routine
HepB,HepB,routine
HepB,HepB_BD,routine
HepB,HepB,routine-intensified
Hib,Hib3,routine
HPV,HPV,campaign
HPV,HPV,routine
HPV,HPV,routine-intensified
JE,JE,campaign
JE,JE,routine
Measles,MCV1,routine
Measles,MCV2,routine
Measles,Measles,campaign
Measles,Measles,routine-intensified
MenA,MenA,campaign
MenA,MenA,routine
MenA,MenA,routine-intensified
PCV,PCV3,routine
Rota,Rota,routine
Rubella,RCV2,routine
Rubella,Rubella,campaign
Rubella,Rubella,routine
Rubella,Rubella,routine-intensified
Typhoid,Typhoid,campaign
Typhoid,Typhoid,routine
YF,YF,campaign
YF,YF,routine
YF,YF,routine-intensified
