"country","year","age","value","activity_type","burden_outcome"
"ABC",2000,0,16,"novax","deaths"
"ABC",2000,1,15,"novax","deaths"
"ABC",2000,2,14,"novax","deaths"
"ABC",2000,3,13,"novax","deaths"
"ABC",2000,4,13,"novax","deaths"
"ABC",2000,5,12,"novax","deaths"
"ABC",2000,6,12,"novax","deaths"
"ABC",2000,7,11,"novax","deaths"
"ABC",2000,8,11,"novax","deaths"
"ABC",2000,9,10,"novax","deaths"
"ABC",2000,10,8,"novax","deaths"
"ABC",2000,11,8,"novax","deaths"
"ABC",2000,12,6,"novax","deaths"
"ABC",2000,13,6,"novax","deaths"
"ABC",2000,14,6,"novax","deaths"
"ABC",2000,15,6,"novax","deaths"
"ABC",2000,16,5,"novax","deaths"
"ABC",2000,17,5,"novax","deaths"
"ABC",2000,18,5,"novax","deaths"
"ABC",2000,19,5,"novax","deaths"
"ABC",2000,20,5,"novax","deaths"
"ABC",2000,21,4,"novax","deaths"
"ABC",2000,22,4,"novax","deaths"
"ABC",2000,23,4,"novax","deaths"
"ABC",2000,24,4,"novax","deaths"
"ABC",2000,25,4,"novax","deaths"
"ABC",2000,26,3,"novax","deaths"
"ABC",2000,27,3,"novax","deaths"
"ABC",2000,28,3,"novax","deaths"
"ABC",2000,29,3,"novax","deaths"
"ABC",2000,30,3,"novax","deaths"
"ABC",2000,31,3,"novax","deaths"
"ABC",2000,32,3,"novax","deaths"
"ABC",2000,33,2,"novax","deaths"
"ABC",2000,34,2,"novax","deaths"
"ABC",2000,35,2,"novax","deaths"
"ABC",2000,36,2,"novax","deaths"
"ABC",2000,37,2,"novax","deaths"
"ABC",2000,38,2,"novax","deaths"
"ABC",2000,39,2,"novax","deaths"
"ABC",2000,40,2,"novax","deaths"
"ABC",2000,41,2,"novax","deaths"
"ABC",2000,42,2,"novax","deaths"
"ABC",2000,43,2,"novax","deaths"
"ABC",2000,44,2,"novax","deaths"
"ABC",2000,45,1,"novax","deaths"
"ABC",2000,46,1,"novax","deaths"
"ABC",2000,47,1,"novax","deaths"
"ABC",2000,48,1,"novax","deaths"
"ABC",2000,49,1,"novax","deaths"
"ABC",2000,50,1,"novax","deaths"
"ABC",2000,51,1,"novax","deaths"
"ABC",2000,52,1,"novax","deaths"
"ABC",2000,53,1,"novax","deaths"
"ABC",2000,54,1,"novax","deaths"
"ABC",2000,55,1,"novax","deaths"
"ABC",2000,56,1,"novax","deaths"
"ABC",2000,57,1,"novax","deaths"
"ABC",2000,58,1,"novax","deaths"
"ABC",2000,59,1,"novax","deaths"
"ABC",2000,60,1,"novax","deaths"
"ABC",2000,61,1,"novax","deaths"
"ABC",2000,62,1,"novax","deaths"
"ABC",2000,63,1,"novax","deaths"
"ABC",2000,64,1,"novax","deaths"
"ABC",2000,65,1,"novax","deaths"
"ABC",2000,66,0,"novax","deaths"
"ABC",2000,67,0,"novax","deaths"
"ABC",2000,68,0,"novax","deaths"
"ABC",2000,69,0,"novax","deaths"
"ABC",2000,70,0,"novax","deaths"
"ABC",2000,71,0,"novax","deaths"
"ABC",2000,72,0,"novax","deaths"
"ABC",2000,73,0,"novax","deaths"
"ABC",2000,74,0,"novax","deaths"
"ABC",2000,75,0,"novax","deaths"
"ABC",2000,76,0,"novax","deaths"
"ABC",2000,77,0,"novax","deaths"
"ABC",2000,78,0,"novax","deaths"
"ABC",2000,79,0,"novax","deaths"
"ABC",2000,80,0,"novax","deaths"
"ABC",2000,81,0,"novax","deaths"
"ABC",2000,82,0,"novax","deaths"
"ABC",2000,83,0,"novax","deaths"
"ABC",2000,84,0,"novax","deaths"
"ABC",2000,85,0,"novax","deaths"
"ABC",2000,86,0,"novax","deaths"
"ABC",2000,87,0,"novax","deaths"
"ABC",2000,88,0,"novax","deaths"
"ABC",2000,89,0,"novax","deaths"
"ABC",2000,90,0,"novax","deaths"
"ABC",2000,91,0,"novax","deaths"
"ABC",2000,92,0,"novax","deaths"
"ABC",2000,93,0,"novax","deaths"
"ABC",2000,94,0,"novax","deaths"
"ABC",2000,95,0,"novax","deaths"
"ABC",2000,96,0,"novax","deaths"
"ABC",2000,97,0,"novax","deaths"
"ABC",2000,98,0,"novax","deaths"
"ABC",2000,99,0,"novax","deaths"
"ABC",2000,100,0,"novax","deaths"
"ABC",2001,0,16,"novax","deaths"
"ABC",2001,1,15,"novax","deaths"
"ABC",2001,2,15,"novax","deaths"
"ABC",2001,3,14,"novax","deaths"
"ABC",2001,4,13,"novax","deaths"
"ABC",2001,5,12,"novax","deaths"
"ABC",2001,6,12,"novax","deaths"
"ABC",2001,7,11,"novax","deaths"
"ABC",2001,8,11,"novax","deaths"
"ABC",2001,9,11,"novax","deaths"
"ABC",2001,10,10,"novax","deaths"
"ABC",2001,11,8,"novax","deaths"
"ABC",2001,12,8,"novax","deaths"
"ABC",2001,13,6,"novax","deaths"
"ABC",2001,14,6,"novax","deaths"
"ABC",2001,15,6,"novax","deaths"
"ABC",2001,16,6,"novax","deaths"
"ABC",2001,17,5,"novax","deaths"
"ABC",2001,18,5,"novax","deaths"
"ABC",2001,19,5,"novax","deaths"
"ABC",2001,20,5,"novax","deaths"
"ABC",2001,21,5,"novax","deaths"
"ABC",2001,22,4,"novax","deaths"
"ABC",2001,23,4,"novax","deaths"
"ABC",2001,24,4,"novax","deaths"
"ABC",2001,25,4,"novax","deaths"
"ABC",2001,26,4,"novax","deaths"
"ABC",2001,27,3,"novax","deaths"
"ABC",2001,28,3,"novax","deaths"
"ABC",2001,29,3,"novax","deaths"
"ABC",2001,30,3,"novax","deaths"
"ABC",2001,31,3,"novax","deaths"
"ABC",2001,32,3,"novax","deaths"
"ABC",2001,33,2,"novax","deaths"
"ABC",2001,34,2,"novax","deaths"
"ABC",2001,35,2,"novax","deaths"
"ABC",2001,36,2,"novax","deaths"
"ABC",2001,37,2,"novax","deaths"
"ABC",2001,38,2,"novax","deaths"
"ABC",2001,39,2,"novax","deaths"
"ABC",2001,40,2,"novax","deaths"
"ABC",2001,41,2,"novax","deaths"
"ABC",2001,42,2,"novax","deaths"
"ABC",2001,43,2,"novax","deaths"
"ABC",2001,44,2,"novax","deaths"
"ABC",2001,45,1,"novax","deaths"
"ABC",2001,46,1,"novax","deaths"
"ABC",2001,47,1,"novax","deaths"
"ABC",2001,48,1,"novax","deaths"
"ABC",2001,49,1,"novax","deaths"
"ABC",2001,50,1,"novax","deaths"
"ABC",2001,51,1,"novax","deaths"
"ABC",2001,52,1,"novax","deaths"
"ABC",2001,53,1,"novax","deaths"
"ABC",2001,54,1,"novax","deaths"
"ABC",2001,55,1,"novax","deaths"
"ABC",2001,56,1,"novax","deaths"
"ABC",2001,57,1,"novax","deaths"
"ABC",2001,58,1,"novax","deaths"
"ABC",2001,59,1,"novax","deaths"
"ABC",2001,60,1,"novax","deaths"
"ABC",2001,61,1,"novax","deaths"
"ABC",2001,62,1,"novax","deaths"
"ABC",2001,63,1,"novax","deaths"
"ABC",2001,64,1,"novax","deaths"
"ABC",2001,65,1,"novax","deaths"
"ABC",2001,66,0,"novax","deaths"
"ABC",2001,67,0,"novax","deaths"
"ABC",2001,68,0,"novax","deaths"
"ABC",2001,69,0,"novax","deaths"
"ABC",2001,70,0,"novax","deaths"
"ABC",2001,71,0,"novax","deaths"
"ABC",2001,72,0,"novax","deaths"
"ABC",2001,73,0,"novax","deaths"
"ABC",2001,74,0,"novax","deaths"
"ABC",2001,75,0,"novax","deaths"
"ABC",2001,76,0,"novax","deaths"
"ABC",2001,77,0,"novax","deaths"
"ABC",2001,78,0,"novax","deaths"
"ABC",2001,79,0,"novax","deaths"
"ABC",2001,80,0,"novax","deaths"
"ABC",2001,81,0,"novax","deaths"
"ABC",2001,82,0,"novax","deaths"
"ABC",2001,83,0,"novax","deaths"
"ABC",2001,84,0,"novax","deaths"
"ABC",2001,85,0,"novax","deaths"
"ABC",2001,86,0,"novax","deaths"
"ABC",2001,87,0,"novax","deaths"
"ABC",2001,88,0,"novax","deaths"
"ABC",2001,89,0,"novax","deaths"
"ABC",2001,90,0,"novax","deaths"
"ABC",2001,91,0,"novax","deaths"
"ABC",2001,92,0,"novax","deaths"
"ABC",2001,93,0,"novax","deaths"
"ABC",2001,94,0,"novax","deaths"
"ABC",2001,95,0,"novax","deaths"
"ABC",2001,96,0,"novax","deaths"
"ABC",2001,97,0,"novax","deaths"
"ABC",2001,98,0,"novax","deaths"
"ABC",2001,99,0,"novax","deaths"
"ABC",2001,100,0,"novax","deaths"
"ABC",2002,0,17,"novax","deaths"
"ABC",2002,1,16,"novax","deaths"
"ABC",2002,2,15,"novax","deaths"
"ABC",2002,3,14,"novax","deaths"
"ABC",2002,4,14,"novax","deaths"
"ABC",2002,5,13,"novax","deaths"
"ABC",2002,6,12,"novax","deaths"
"ABC",2002,7,12,"novax","deaths"
"ABC",2002,8,11,"novax","deaths"
"ABC",2002,9,11,"novax","deaths"
"ABC",2002,10,10,"novax","deaths"
"ABC",2002,11,10,"novax","deaths"
"ABC",2002,12,8,"novax","deaths"
"ABC",2002,13,8,"novax","deaths"
"ABC",2002,14,6,"novax","deaths"
"ABC",2002,15,6,"novax","deaths"
"ABC",2002,16,6,"novax","deaths"
"ABC",2002,17,5,"novax","deaths"
"ABC",2002,18,5,"novax","deaths"
"ABC",2002,19,5,"novax","deaths"
"ABC",2002,20,5,"novax","deaths"
"ABC",2002,21,5,"novax","deaths"
"ABC",2002,22,5,"novax","deaths"
"ABC",2002,23,4,"novax","deaths"
"ABC",2002,24,4,"novax","deaths"
"ABC",2002,25,4,"novax","deaths"
"ABC",2002,26,4,"novax","deaths"
"ABC",2002,27,4,"novax","deaths"
"ABC",2002,28,3,"novax","deaths"
"ABC",2002,29,3,"novax","deaths"
"ABC",2002,30,3,"novax","deaths"
"ABC",2002,31,3,"novax","deaths"
"ABC",2002,32,3,"novax","deaths"
"ABC",2002,33,3,"novax","deaths"
"ABC",2002,34,2,"novax","deaths"
"ABC",2002,35,2,"novax","deaths"
"ABC",2002,36,2,"novax","deaths"
"ABC",2002,37,2,"novax","deaths"
"ABC",2002,38,2,"novax","deaths"
"ABC",2002,39,2,"novax","deaths"
"ABC",2002,40,2,"novax","deaths"
"ABC",2002,41,2,"novax","deaths"
"ABC",2002,42,2,"novax","deaths"
"ABC",2002,43,2,"novax","deaths"
"ABC",2002,44,2,"novax","deaths"
"ABC",2002,45,2,"novax","deaths"
"ABC",2002,46,1,"novax","deaths"
"ABC",2002,47,1,"novax","deaths"
"ABC",2002,48,1,"novax","deaths"
"ABC",2002,49,1,"novax","deaths"
"ABC",2002,50,1,"novax","deaths"
"ABC",2002,51,1,"novax","deaths"
"ABC",2002,52,1,"novax","deaths"
"ABC",2002,53,1,"novax","deaths"
"ABC",2002,54,1,"novax","deaths"
"ABC",2002,55,1,"novax","deaths"
"ABC",2002,56,1,"novax","deaths"
"ABC",2002,57,1,"novax","deaths"
"ABC",2002,58,1,"novax","deaths"
"ABC",2002,59,1,"novax","deaths"
"ABC",2002,60,1,"novax","deaths"
"ABC",2002,61,1,"novax","deaths"
"ABC",2002,62,1,"novax","deaths"
"ABC",2002,63,1,"novax","deaths"
"ABC",2002,64,1,"novax","deaths"
"ABC",2002,65,1,"novax","deaths"
"ABC",2002,66,0,"novax","deaths"
"ABC",2002,67,0,"novax","deaths"
"ABC",2002,68,0,"novax","deaths"
"ABC",2002,69,0,"novax","deaths"
"ABC",2002,70,0,"novax","deaths"
"ABC",2002,71,0,"novax","deaths"
"ABC",2002,72,0,"novax","deaths"
"ABC",2002,73,0,"novax","deaths"
"ABC",2002,74,0,"novax","deaths"
"ABC",2002,75,0,"novax","deaths"
"ABC",2002,76,0,"novax","deaths"
"ABC",2002,77,0,"novax","deaths"
"ABC",2002,78,0,"novax","deaths"
"ABC",2002,79,0,"novax","deaths"
"ABC",2002,80,0,"novax","deaths"
"ABC",2002,81,0,"novax","deaths"
"ABC",2002,82,0,"novax","deaths"
"ABC",2002,83,0,"novax","deaths"
"ABC",2002,84,0,"novax","deaths"
"ABC",2002,85,0,"novax","deaths"
"ABC",2002,86,0,"novax","deaths"
"ABC",2002,87,0,"novax","deaths"
"ABC",2002,88,0,"novax","deaths"
"ABC",2002,89,0,"novax","deaths"
"ABC",2002,90,0,"novax","deaths"
"ABC",2002,91,0,"novax","deaths"
"ABC",2002,92,0,"novax","deaths"
"ABC",2002,93,0,"novax","deaths"
"ABC",2002,94,0,"novax","deaths"
"ABC",2002,95,0,"novax","deaths"
"ABC",2002,96,0,"novax","deaths"
"ABC",2002,97,0,"novax","deaths"
"ABC",2002,98,0,"novax","deaths"
"ABC",2002,99,0,"novax","deaths"
"ABC",2002,100,0,"novax","deaths"
"ABC",2003,0,17,"novax","deaths"
"ABC",2003,1,16,"novax","deaths"
"ABC",2003,2,15,"novax","deaths"
"ABC",2003,3,15,"novax","deaths"
"ABC",2003,4,14,"novax","deaths"
"ABC",2003,5,13,"novax","deaths"
"ABC",2003,6,13,"novax","deaths"
"ABC",2003,7,12,"novax","deaths"
"ABC",2003,8,12,"novax","deaths"
"ABC",2003,9,11,"novax","deaths"
"ABC",2003,10,11,"novax","deaths"
"ABC",2003,11,10,"novax","deaths"
"ABC",2003,12,10,"novax","deaths"
"ABC",2003,13,8,"novax","deaths"
"ABC",2003,14,8,"novax","deaths"
"ABC",2003,15,6,"novax","deaths"
"ABC",2003,16,6,"novax","deaths"
"ABC",2003,17,6,"novax","deaths"
"ABC",2003,18,5,"novax","deaths"
"ABC",2003,19,5,"novax","deaths"
"ABC",2003,20,5,"novax","deaths"
"ABC",2003,21,5,"novax","deaths"
"ABC",2003,22,5,"novax","deaths"
"ABC",2003,23,4,"novax","deaths"
"ABC",2003,24,4,"novax","deaths"
"ABC",2003,25,4,"novax","deaths"
"ABC",2003,26,4,"novax","deaths"
"ABC",2003,27,4,"novax","deaths"
"ABC",2003,28,3,"novax","deaths"
"ABC",2003,29,3,"novax","deaths"
"ABC",2003,30,3,"novax","deaths"
"ABC",2003,31,3,"novax","deaths"
"ABC",2003,32,3,"novax","deaths"
"ABC",2003,33,3,"novax","deaths"
"ABC",2003,34,3,"novax","deaths"
"ABC",2003,35,2,"novax","deaths"
"ABC",2003,36,2,"novax","deaths"
"ABC",2003,37,2,"novax","deaths"
"ABC",2003,38,2,"novax","deaths"
"ABC",2003,39,2,"novax","deaths"
"ABC",2003,40,2,"novax","deaths"
"ABC",2003,41,2,"novax","deaths"
"ABC",2003,42,2,"novax","deaths"
"ABC",2003,43,2,"novax","deaths"
"ABC",2003,44,2,"novax","deaths"
"ABC",2003,45,2,"novax","deaths"
"ABC",2003,46,1,"novax","deaths"
"ABC",2003,47,1,"novax","deaths"
"ABC",2003,48,1,"novax","deaths"
"ABC",2003,49,1,"novax","deaths"
"ABC",2003,50,1,"novax","deaths"
"ABC",2003,51,1,"novax","deaths"
"ABC",2003,52,1,"novax","deaths"
"ABC",2003,53,1,"novax","deaths"
"ABC",2003,54,1,"novax","deaths"
"ABC",2003,55,1,"novax","deaths"
"ABC",2003,56,1,"novax","deaths"
"ABC",2003,57,1,"novax","deaths"
"ABC",2003,58,1,"novax","deaths"
"ABC",2003,59,1,"novax","deaths"
"ABC",2003,60,1,"novax","deaths"
"ABC",2003,61,1,"novax","deaths"
"ABC",2003,62,1,"novax","deaths"
"ABC",2003,63,1,"novax","deaths"
"ABC",2003,64,1,"novax","deaths"
"ABC",2003,65,1,"novax","deaths"
"ABC",2003,66,1,"novax","deaths"
"ABC",2003,67,0,"novax","deaths"
"ABC",2003,68,0,"novax","deaths"
"ABC",2003,69,0,"novax","deaths"
"ABC",2003,70,0,"novax","deaths"
"ABC",2003,71,0,"novax","deaths"
"ABC",2003,72,0,"novax","deaths"
"ABC",2003,73,0,"novax","deaths"
"ABC",2003,74,0,"novax","deaths"
"ABC",2003,75,0,"novax","deaths"
"ABC",2003,76,0,"novax","deaths"
"ABC",2003,77,0,"novax","deaths"
"ABC",2003,78,0,"novax","deaths"
"ABC",2003,79,0,"novax","deaths"
"ABC",2003,80,0,"novax","deaths"
"ABC",2003,81,0,"novax","deaths"
"ABC",2003,82,0,"novax","deaths"
"ABC",2003,83,0,"novax","deaths"
"ABC",2003,84,0,"novax","deaths"
"ABC",2003,85,0,"novax","deaths"
"ABC",2003,86,0,"novax","deaths"
"ABC",2003,87,0,"novax","deaths"
"ABC",2003,88,0,"novax","deaths"
"ABC",2003,89,0,"novax","deaths"
"ABC",2003,90,0,"novax","deaths"
"ABC",2003,91,0,"novax","deaths"
"ABC",2003,92,0,"novax","deaths"
"ABC",2003,93,0,"novax","deaths"
"ABC",2003,94,0,"novax","deaths"
"ABC",2003,95,0,"novax","deaths"
"ABC",2003,96,0,"novax","deaths"
"ABC",2003,97,0,"novax","deaths"
"ABC",2003,98,0,"novax","deaths"
"ABC",2003,99,0,"novax","deaths"
"ABC",2003,100,0,"novax","deaths"
"ABC",2004,0,18,"novax","deaths"
"ABC",2004,1,17,"novax","deaths"
"ABC",2004,2,16,"novax","deaths"
"ABC",2004,3,15,"novax","deaths"
"ABC",2004,4,14,"novax","deaths"
"ABC",2004,5,14,"novax","deaths"
"ABC",2004,6,13,"novax","deaths"
"ABC",2004,7,12,"novax","deaths"
"ABC",2004,8,12,"novax","deaths"
"ABC",2004,9,11,"novax","deaths"
"ABC",2004,10,11,"novax","deaths"
"ABC",2004,11,11,"novax","deaths"
"ABC",2004,12,10,"novax","deaths"
"ABC",2004,13,10,"novax","deaths"
"ABC",2004,14,8,"novax","deaths"
